INTER-MODEL AGREEMENT — SEC BENCHMARK CORPUS (Canonical 20-Doc Set),,,,,,,,,,,,,,,,,,
Corpus: Coinbase · Super Micro ×3 · Tupperware · Kellanova/Mars ×2 · Tesla ×2 · Microsoft  |  Models: GPT o3 · Gemini  |  Gold Standard: all 20 = CLEAN,,,,,,,,,,,,,,,,,,
SECTION 1 — COHEN'S KAPPA: INTER-MODEL AGREEMENT (GPT o3 vs Gemini),,,,,,,,,,,,,,,,,,
Metric,Corpus,n,Observed Agree.,Expected Agree.,Cohen's κ,Strength,Interpretation,,,,,,,,,,,
Gate Classification,SEC Benchmark (n=20),20,1,1,1,Perfect,Both models classify all 20 docs as CLEAN. Maximum possible agreement.,,,,,,,,,,,
Laundering Presence,SEC Benchmark (n=20),20,0.75,0.625,0.333,Fair,GPT o3 flags none; Gemini flags bureaucratic_masking on 10 technical filings. Disagreement on all 10 technical docs.,,,,,,,,,,,
Learning Posture,SEC Benchmark (n=20),20,0.75,0.625,0.333,Fair,"GPT o3 assigns open_loop to all 20; Gemini assigns defensive_routine to 10 technical, open_loop to 10 editorial.",,,,,,,,,,,
SECTION 2 — F1 SCORES vs GOLD STANDARD (All 20 docs = CLEAN),,,,,,,,,,,,,,,,,,
Model,Class,TP,FP,FN,Precision,Recall,F1,Macro F1,Note,,,,,,,,,
GPT o3,clean,20,0,0,1,1,1,1,Perfect classification. All 20 docs correctly identified as CLEAN. No false positives or negatives.,,,,,,,,,
Gemini,clean,20,0,0,1,1,1,1,Perfect classification. All 20 docs correctly identified as CLEAN. No false positives or negatives.,,,,,,,,,
"KEY FINDING: Both GPT o3 and Gemini achieve perfect gate-classification on the canonical SEC benchmark corpus (Macro F1 = 1.000 each). The models diverge significantly on coordinate placement and laundering detection, but converge on the critical classification outcome. GPT o3 operates in a near-zero coordinate space (|X|, |Y| ≤ 0.15) vs Gemini's fuller scale (|X| up to 3.5, |Y| up to 4.3), indicating systematic coordinate compression in GPT o3 relative to Gemini.",,,,,,,,,,,,,,,,,,
SECTION 3 — COORDINATE COMPRESSION ANALYSIS (GPT o3 vs Gemini),,,,,,,,,,,,,,,,,,
Measure,GPT o3 (Technical),GPT o3 (Editorial),Gemini (Technical),Gemini (Editorial),Compression Ratio (Tech),Compression Ratio (Ed.),,,,,,,,,,,,
Mean |X| (stability/disruption),0.01,0.01,2.3,2.3,~230×,~230×,,,,,,,,,,,,
Mean |Y| (head/heart),0.04,0.02,3.3,0.9,~83×,~45×,,,,,,,,,,,,
Mean Intensity,0.04,0.02,4.06,1.66,~102×,~83×,,,,,,,,,,,,
Gate Classification,CLEAN,CLEAN,CLEAN,CLEAN,—,—,,,,,,,,,,,,
Laundering detected,none (all),none (all),bureaucratic_masking (all tech),none (all),—,—,,,,,,,,,,,,
NOTE: GPT o3 coordinate compression does not affect gate accuracy but suppresses signal resolution. Gemini's fuller coordinate range provides richer quadrant placement and intensity discrimination. Both models correctly detect bureaucratic_masking in technical filings (Gemini) / no laundering (GPT o3 — below threshold).,,,,,,,,,,,,,,,,,,
SECTION 4 — PER-DOCUMENT COMPARISON: SEC BENCHMARK CORPUS (n=20),,,,,,,,,,,,,,,,,,
Doc,Company,Pair Type,Gold Std,GPTo3 Class,GPTo3 X,GPTo3 Y,GPTo3 I,Gem Class,Gem X,Gem Y,Gem I,GPTo3=GS,Gem=GS,Agree,GPTo3 Laundering,Gem Laundering,GPTo3 Posture,Gem Posture
1,"Coinbase Global, Inc.",sec_filing,clean,clean,-0.02,-0.02,0.02,clean,-2.5,3.5,4.3,YES,YES,YES,none,bureaucratic_masking,open_loop_reasoning,defensive_routine
1.5,"Coinbase Global, Inc.",news_interpretation,clean,clean,0,0,0,clean,1.5,1,1.3,YES,YES,YES,none,none,open_loop_reasoning,open_loop_reasoning
2,"Super Micro Computer, Inc.",sec_filing,clean,clean,0,0,0,clean,-3,4,5,YES,YES,YES,none,bureaucratic_masking,open_loop_reasoning,defensive_routine
2.5,"Super Micro Computer, Inc.",news_interpretation,clean,clean,0,0,0,clean,1,0.5,0.8,YES,YES,YES,none,none,open_loop_reasoning,open_loop_reasoning
3,Tupperware Brands Corporation,sec_filing,clean,clean,0.09,0,0.06,clean,-1.5,2.5,2.9,YES,YES,YES,none,bureaucratic_masking,open_loop_reasoning,defensive_routine
3.5,Tupperware Brands Corporation,news_interpretation,clean,clean,0,0,0,clean,3.5,1.5,2.7,YES,YES,YES,none,none,open_loop_reasoning,open_loop_reasoning
4,Kellanova / Mars,sec_filing,clean,clean,0,0.13,0.09,clean,-2,3.5,4,YES,YES,YES,none,bureaucratic_masking,open_loop_reasoning,defensive_routine
4.5,Kellanova / Mars,news_interpretation,clean,clean,-0.03,0,0.02,clean,3,1,2.2,YES,YES,YES,none,none,open_loop_reasoning,open_loop_reasoning
5,Kellanova / Mars (Family Control),sec_filing,clean,clean,0,0,0,clean,-2.5,3,3.9,YES,YES,YES,none,bureaucratic_masking,open_loop_reasoning,defensive_routine
5.5,Kellanova / Mars (Family Control),news_interpretation,clean,clean,0,0.11,0.08,clean,1.5,1,1.3,YES,YES,YES,none,none,open_loop_reasoning,open_loop_reasoning
6,"Super Micro Computer, Inc.",sec_filing,clean,clean,0,0,0,clean,-2,3.5,4,YES,YES,YES,none,bureaucratic_masking,open_loop_reasoning,defensive_routine
6.5,"Super Micro Computer, Inc.",news_interpretation,clean,clean,0,0,0,clean,3.5,1,2.6,YES,YES,YES,none,none,open_loop_reasoning,open_loop_reasoning
7,"Super Micro Computer, Inc.",sec_filing,clean,clean,0,0,0,clean,-2.5,3,3.9,YES,YES,YES,none,bureaucratic_masking,open_loop_reasoning,defensive_routine
7.5,"Super Micro Computer, Inc.",news_interpretation,clean,clean,0,0,0,clean,1,0.5,0.8,YES,YES,YES,none,none,open_loop_reasoning,open_loop_reasoning
8,"Tesla, Inc.",sec_filing,clean,clean,0,0.15,0.11,clean,-2,3.5,4,YES,YES,YES,none,bureaucratic_masking,open_loop_reasoning,defensive_routine
8.5,"Tesla, Inc.",news_interpretation,clean,clean,0.04,0,0.03,clean,3.5,1,2.6,YES,YES,YES,none,none,open_loop_reasoning,open_loop_reasoning
9,"Tesla, Inc. (Compensation)",sec_filing,clean,clean,0,0,0,clean,-3,3,4.2,YES,YES,YES,none,bureaucratic_masking,open_loop_reasoning,defensive_routine
9.5,"Tesla, Inc. (Compensation)",news_interpretation,clean,clean,0,0,0,clean,1.5,1,1.3,YES,YES,YES,none,none,open_loop_reasoning,open_loop_reasoning
10,Microsoft Corporation,sec_filing,clean,clean,0,0,0,clean,-2.5,3.5,4.3,YES,YES,YES,none,bureaucratic_masking,open_loop_reasoning,defensive_routine
10.5,Microsoft Corporation,news_interpretation,clean,clean,0,0.06,0.05,clean,2,1,1.6,YES,YES,YES,none,none,open_loop_reasoning,open_loop_reasoning
SECTION 5 — PER-DOCUMENT COMPARISON: ENERGY / OIL MARKET BENCHMARK CORPUS (n=5),,,,,,,,,,,,,,,,,,
Category: Financial · Political · Social | Source: WSJ & FT oil-market journalism | Gold Standard: all 5 = CLEAN,,,,,,,,,,,,,,,,,,
F1 SCORES vs GOLD STANDARD,,,,,,,,,,,,,,,,,,
Model,Class,TP,FP,FN,Precision,Recall,F1,Macro F1,Note,,,,,,,,,
GPT o3,clean,3,0,2,1,0.6,0.75,0.25,3/5 correct; 2 false positives,,,,,,,,,
GPT o3,moral_framing,0,1,0,0,0,0,,X.3 FT Brent $80 — geopolitical conflict framing triggered Gate 3,,,,,,,,,
GPT o3,ideological,0,1,0,0,0,0,,X.5 FT OPEC+ cuts — prescriptive market rhetoric triggered Gate 2,,,,,,,,,
Gemini,clean,5,0,0,1,1,1,1,Perfect — all 5 correctly classified as CLEAN,,,,,,,,,
"KEY FINDING: Gemini achieves perfect energy benchmark classification (Macro F1 = 1.000). GPT o3 Macro F1 = 0.250 due to 2 false positives on FT geopolitical articles (X.3, X.5). Both errors involve Middle East / OPEC political framing — consistent with GPT o3's editorial-sensitivity bias identified in the SEC benchmark. Gemini correctly reads geopolitical financial journalism as CLEAN throughout.",,,,,,,,,,,,,,,,,,
Doc,Title,Category,Gold Std,GPTo3 Class,GPTo3 X,GPTo3 Y,GPTo3 I,Gem Class,Gem X,Gem Y,Gem I,GPTo3=GS,Gem=GS,Agree,GPTo3 Laundering,Gem Laundering,GPTo3 Posture,Gem Posture
X.1,WSJ: 2020 Oil Price Crash Below Zero,Financial / Market,clean,clean,0.01,-0.02,0.02,clean,3,3,3,YES,YES,YES,none,bureaucratic_masking; scientism,open_loop_reasoning,defensive_routine
X.2,WSJ: 2023 Saudi Unilateral Production Cut,Financial / Political,clean,clean,0.04,-0.04,0.04,clean,-3,3,3,YES,YES,YES,none,bureaucratic_masking; scientism,open_loop_reasoning,defensive_routine
X.3,FT: 2018 Brent Crude Rally to $80,Financial / Geopolitical,clean,moral_framing,4.2,-3.9,5.47,clean,2,3,2.5,NO,YES,NO,identity_laundering,scientism,defensive_routine,defensive_routine
X.4,FT: 2020 Negative US Oil Prices — What It Means,Financial / Market,clean,clean,0.03,-0.01,0.03,clean,4,3.5,3.8,YES,YES,YES,none,bureaucratic_masking; scientism; identity_laundering,open_loop_reasoning,defensive_routine
X.5,FT: 2023 Surprise OPEC+ Production Cuts,Financial / Political / Social,clean,ideological,3.8,0.9,3.86,clean,1.5,2.5,2.1,NO,YES,NO,scientism,bureaucratic_masking; scientism,defensive_routine,defensive_routine
SECTION 6 — BLS VALIDATION CORPUS: COHEN'S KAPPA & F1 (n=22),,,,,,,,,,,,,,,,,,
"22 docs: 11 BLS technical releases + 11 outside interpretations. Gold standard: 21 CLEAN, 1 MORAL_FRAMING (BLS_B03E — PIIE Wilcox on BLS data integrity). The single minority-class case drives the entire κ divergence between platforms.",,,,,,,,,,,,,,,,,,
A — CONFUSION MATRICES (Gate Classification),,,,,,,,,,,,,,,,,,
GEMINI,Predicted: CLEAN,Predicted: MORAL_FRAMING,Row Total,,,,,,,,,,,,,,,
Gold: CLEAN (n=21),21,0,21,,,,,,,,,,,,,,,
Gold: MORAL_FRAMING (n=1),0,1,1,,,,,,,,,,,,,,,
Col Total,21,1,22,,,,,,,,,,,,,,,
GPT o3,Predicted: CLEAN,Predicted: MORAL_FRAMING,Row Total,,,,,,,,,,,,,,,
Gold: CLEAN (n=21),21,0,21,,,,,,,,,,,,,,,
Gold: MORAL_FRAMING (n=1),1,0,1,,,,,,,,,,,,,,,
Col Total,22,0,22,,,,,,,,,,,,,,,
B — COHEN'S KAPPA DERIVATION  |  κ = (P_o − P_e) / (1 − P_e),,,,,,,,,,,,,,,,,,
Model,n,P_o,P_e Derivation (step by step),P_e,1−P_e,κ,Strength,,,,,,,,,,,
Gemini,22,22/22 = 1.0000,(21/22 × 21/22) + (1/22 × 1/22) = 0.9111 + 0.0021,0.9132,0.0868,1,Perfect,,,,,,,,,,,
GPT o3,22,21/22 = 0.9545,(21/22 × 22/22) + (1/22 × 0/22) = 0.9545 + 0.0000  ← P_o = P_e,0.9545,0.0455,0,None — majority-class bias,,,,,,,,,,,
"WHY κ = 0.000 for GPT o3: GPT o3 predicts CLEAN for all 22 documents. Because the gold standard is 21/22 clean, the expected agreement under independence equals (21/22 × 22/22) + (1/22 × 0/22) = 0.9545 — exactly matching observed agreement 0.9545. κ = (0.9545 − 0.9545) / (1 − 0.9545) = 0.000. GPT o3's classification is statistically indistinguishable from always predicting the majority class, despite 95.5% raw accuracy.",,,,,,,,,,,,,,,,,,
C — F1 SCORES vs GOLD STANDARD (Gate Classification),,,,,,,,,,,,,,,,,,
Model,Class,TP,FP,FN,Precision,Recall,F1,Macro F1,Note,,,,,,,,,
Gemini,clean,21,0,0,1,1,1,1,All 21 clean correctly identified,,,,,,,,,
Gemini,moral_framing,1,0,0,1,1,1,,BLS_B03E correctly caught — framing_density > 0.02 threshold,,,,,,,,,
GPT o3,clean,21,1,0,0.9545,1,0.9767,0.4884,BLS_B03E miscalled clean (false positive for clean),,,,,,,,,
GPT o3,moral_framing,0,0,1,0,0,0,,BLS_B03E missed entirely — gate never fires,,,,,,,,,
D — SUB-LAYER SCORES (Laundering · Posture · Testability),,,,,,,,,,,,,,,,,,
Model,Sub-layer,Gold +ve,TP,FP,FN,Precision,Recall,Result,Note,,,,,,,,,
Gemini,Laundering presence,0,0,2,0,N/A,N/A,κ=0.000,2 FP bureaucratic_masking on BLS_B01 & BLS_B02,,,,,,,,,
GPT o3,Laundering presence,0,0,0,0,1.000*,1.000*,κ=1.000*,Perfect — zero flags; trivial κ (both flag nothing),,,,,,,,,
Gemini,Learning posture,0,0,2,0,N/A,N/A,κ=0.000,2 false defensive_routine labels (cascade from laundering),,,,,,,,,
GPT o3,Learning posture,0,0,0,0,1.000,1.000,κ=1.000,22/22 correct open_loop_reasoning labels,,,,,,,,,
Gemini,Testability,1,1,0,0,1.000,1.000,F1=1.000,BLS_B03E correctly labeled immunizing_stratagem,,,,,,,,,
GPT o3,Testability,1,0,0,1,0.000,0.000,F1=0.000,BLS_B03E missed — labeled falsifiable because gate didn't fire,,,,,,,,,
"* Trivial κ: When both model and gold flag zero laundering instances, observed and expected agreement are both 1.0. κ is formally undefined; reported as 1.000 by convention. This confirms agreement-on-absence, not detection validity.",,,,,,,,,,,,,,,,,,
E — SUMMARY: COMPLEMENTARY ERROR PROFILES,,,,,,,,,,,,,,,,,,
Dimension,Gemini,GPT o3,Interpretation,,,,,,,,,,,,,,,
Gate classification κ,1.000 — Perfect,0.000 — Majority-class bias,Gemini catches minority-class; GPT o3 predicts majority throughout,,,,,,,,,,,,,,,
Gate classification Macro F1,1.000,0.488,F1 exposes GPT o3's zero recall on moral_framing class,,,,,,,,,,,,,,,
Raw gate accuracy,100.0% (22/22),95.5% (21/22),Raw accuracy masks κ=0; Gemini holds perfect across classes,,,,,,,,,,,,,,,
Laundering detection,2 false positives,0 false positives,Gemini over-sensitive to institutional vocabulary; GPT o3 precise but conservative,,,,,,,,,,,,,,,
Testability labeling,22/22 correct,21/22 — BLS_B03E missed,Testability cascades from gate; GPT o3 misses because gate never fires,,,,,,,,,,,,,,,
Coordinate compression,"|X| up to 4.0, |Y| up to 5.0","|X|, |Y| ≤ 0.53",Gemini uses full scale; GPT o3 compressed ~10–80× on BLS corpus,,,,,,,,,,,,,,,
"KEY FINDING: The BLS corpus is the engine's most diagnostically informative corpus. Its 21:1 class ratio creates a condition where raw accuracy (95.5%) and Cohen's κ (0.000) point in opposite directions for GPT o3. Gemini's κ = 1.000 reflects genuine minority-class detection. The complementary profiles — Gemini sensitive but over-fires laundering, GPT o3 precise on sub-layers but exhibits majority-class gate conservatism — are structurally independent and map to the coordinate compression phenomenon documented across all three corpora.",,,,,,,,,,,,,,,,,,
INTER-MODEL AGREEMENT — ENERGY BENCHMARK CORPUS (10-Doc Set),,,,,,,,,,,,,,,,,,
"Corpus: ENE_X1–X5 (WSJ/FT primary) + ENE_X1E–X5E (syndicated wire) · Gold Standard: 9 clean, 1 moral_framing · Models: GPT o3 · Gemini",,,,,,,,,,,,,,,,,,
COHEN'S κ — ENERGY BENCHMARK,,,,,,,,,,,,,,,,,,
Comparison,n,Obs Agr,Exp Agr,κ,Interpretation,,,,,,,,,,,,,
GPT o3 vs Gold Standard,10,0.7,0.57,0.302,Fair,,,,,,,,,,,,,
Gemini vs Gold Standard,10,1,0.82,1,Almost perfect,,,,,,,,,,,,,
GPT o3 vs Gemini (inter-model),10,0.7,0.57,0.302,Fair,,,,,,,,,,,,,
F1 SCORES vs GOLD STANDARD — ENERGY BENCHMARK,,,,,,,,,,,,,,,,,,
Model,Class,TP,FP,FN,Precision,Recall,F1,Macro F1,,,,,,,,,,
GPT o3,clean,6,0,3,1,0.667,0.8,0.433,,,,,,,,,,
,ideological,0,1,0,0,0,0,,,,,,,,,,,
,moral_framing,1,2,0,0.333,1,0.5,,,,,,,,,,,
Gemini,clean,9,0,0,1,1,1,1,,,,,,,,,,
,moral_framing,1,0,0,1,1,1,,,,,,,,,,,
PER-DOCUMENT COMPARISON — ENERGY BENCHMARK (n=10),,,,,,,,,,,,,,,,,,
Doc ID,Gold Std,GPT Class,GPT X,GPT Y,GPT I,GPT Laund,GPT Posture,Gem Class,Gem X,Gem Y,Gem I,Gem Laund,Gem Posture,GPT=GS,Gem=GS,Agree,,
ENE_X1,clean,clean,0.01,-0.02,0.02,none,open_loop_reasoning,clean,4,2.5,3.3,scientism,defensive_routine,YES,YES,YES,,
ENE_X1E,clean,clean,0.8,-1.2,1,none,open_loop_reasoning,clean,3,3,3,none,open_loop_reasoning,YES,YES,YES,,
ENE_X2,clean,clean,0.04,-0.04,0.04,none,open_loop_reasoning,clean,-1.5,3.5,2.7,bureaucratic_masking,defensive_routine,YES,YES,YES,,
ENE_X2E,clean,moral_framing,-0.9,-1.1,0.9,none,defensive_routine,clean,-2.5,2,2.2,none,open_loop_reasoning,NO,YES,NO,,
ENE_X3,clean,moral_framing,4.2,-3.9,5.5,identity_laundering,defensive_routine,clean,4.5,1,3.3,scientism,defensive_routine,NO,YES,NO,,
ENE_X3E,clean,clean,0.3,-0.2,0.2,none,open_loop_reasoning,clean,2,4,3.1,none,open_loop_reasoning,YES,YES,YES,,
ENE_X4,clean,clean,0.03,-0.01,0.03,none,open_loop_reasoning,clean,5.5,2,4.1,scientism,defensive_routine,YES,YES,YES,,
ENE_X4E,clean,clean,1.2,-0.4,0.9,none,open_loop_reasoning,clean,3.5,3,3.3,none,open_loop_reasoning,YES,YES,YES,,
ENE_X5,clean,ideological,3.8,0.9,3.9,scientism,defensive_routine,clean,-1,2.5,1.9,bureaucratic_masking,open_loop_reasoning,NO,YES,NO,,
ENE_X5E,moral_framing,moral_framing,2,-1.5,2,none,defensive_routine,moral_framing,2.5,-2,2.3,identity_laundering,defensive_routine,YES,YES,YES,,
