text_id,source_corpus,domain,full_text,language_game_context,head_heart_score (-10..+10),stability_disruption_score (-10..+10),amplitude_intensity (0..10),epistemic_classification,laundering_presence (TRUE/FALSE),laundering_types (list),notes_methodological
EE_0001,op-ed,politics,"If you oppose this bill, you clearly don't care about children. Therefore, the bill must pass.",legislative persuasion / editorial advocacy,3.5,4,3.76,mixed,True,identity_laundering; pathos,Seed example (synthetic). Included to illustrate disjunctive spans.
EE_0002,policy_doc,compliance,"According to the Committee's framework, our process is inherently fair; thus, further review is unnecessary.",institutional policy justification,6,-2,4.47,defensive-routine,True,bureaucratic_masking; ethos,Seed example (synthetic). Highlights institutional ethos and closure.
SEC_B01,sec_filing,finance,"Accessible SEC filing text records a Form 8-K dated May 14, 2025. The filing states that Coinbase received an extortion email on May 11 claiming access to certain customer-account information and internal documentation. The company says the actor obtained information by paying support personnel outside the United States who had system access for their jobs. Coinbase says it terminated involved personnel, notified potentially affected customers, declined to pay the demand, and cooperated with law enforcement. The filing also states that customer passwords and private keys were not compromised and estimates remediation and voluntary customer reimbursement costs at roughly $180 million to $400 million.",corporate risk disclosure,3.5,-2,2.85,clean,True,bureaucratic_masking,Benchmark 1 technical. SEC 8-K mandatory incident disclosure. Coinbase cybersecurity extortion.
SEC_B01E,news_interpretation,finance,"Reuters frames the filing as a market and operational event. Its article highlights the company’s estimate of a $180 million to $400 million financial hit, notes that the breach affected a small subset of customers, and places the disclosure in the context of Coinbase’s stock-market profile. The outside interpretation emphasizes business consequences, investor relevance, and the public narrative of the cyberattack rather than the legal disclosure structure of the filing.",editorial advocacy,1,3,2.24,clean,False,,Benchmark 1 editorial. Paired with SEC_B01. Reuters-style market interpretation.
SEC_B02,sec_filing,compliance,"The SEC filing is a Form 8-K associated with Super Micro Computer’s reporting status. In the related public discussion, the filing is treated as confirmation that the company had filed delayed periodic reports and was current with Exchange Act reporting obligations by the relevant deadline. As a technical source, it serves as the official corporate disclosure point for the compliance update.",corporate risk disclosure,3.5,-6,4.91,clean,True,bureaucratic_masking,Benchmark 2 technical. SEC NT filing — late annual report. Super Micro compliance delay.
SEC_B02E,news_interpretation,finance,"Reuters presents the issue as a live investor story. Its reporting ties the delayed annual report to share-price reaction, the deadline pressure facing the company, and the broader accounting controversy around Super Micro. The article turns a compliance disclosure into a narrative about market confidence and governance risk.",editorial advocacy,1.5,3.5,2.69,clean,False,,Benchmark 2 editorial. Paired with SEC_B02. Market-confidence narrative.
SEC_B03,sec_filing,compliance,"The late-filing notice says Tupperware could not timely file its 2023 Form 10-K. The disclosure cites prior misstatements, material weaknesses in internal control over financial reporting, staffing attrition, and audit disruption. As an SEC source, it is technical and procedural, but it also signals financial and governance strain.",corporate risk disclosure,4,-1.5,3.02,clean,True,bureaucratic_masking,"Benchmark 3 technical. Tupperware Brands Form 12b-25. Late 10-K filing citing misstatements, material weaknesses, staffing attrition."
SEC_B03E,news_interpretation,finance,"Reuters translates the filing into a solvency narrative. The article emphasizes management’s doubts about the company’s ability to continue, inadequate liquidity, and the iconic-brand dimension of the story. It reframes a late-filing notice into a broader business-failure and survival account.",editorial advocacy,0.5,4,2.85,clean,False,,Benchmark 3 editorial. Reuters on Tupperware solvency/going-concern doubts. Paired with SEC_B03.
SEC_B04,sec_filing,legal,"The DEFM14A proxy lays out the formal structure of the Mars-Kellanova deal, including the merger agreement, approval process, and transaction mechanics. It is a lengthy legal and corporate governance document designed to support shareholder decision-making.",corporate risk disclosure,3.5,-2,2.85,clean,True,bureaucratic_masking,Benchmark 4 technical. SEC merger proxy — transaction governance and shareholder mechanics.
SEC_B04E,news_interpretation,finance,"Reuters interprets the merger as a major strategic acquisition in consumer packaged goods. The article foregrounds the deal value, the portfolio implications for Mars, and the broader significance of the transaction in the mergers-and-acquisitions market. It strips away filing mechanics and emphasizes strategic scale.",editorial advocacy,1,3,2.24,clean,False,,Benchmark 4 editorial. Strategic-consolidation narrative. Paired with SEC_B04.
SEC_B05,sec_filing,finance,"The SEC filing is a companion proxy or registration statement associated with the Mars-Kellanova merger transaction. As a technical source, it provides the formal legal and procedural scaffolding for the transaction — covering shareholder rights, regulatory conditions, and deal mechanics — in a compliance-driven register that is narrower in scope and more procedurally focused than the primary DEFM14A proxy statement.",policy defense,1,-1.5,1.27,clean,False,,"FLAG: After stripping C4 packaging rationale, zero signal-bearing text remains. Both machines scored packaging language, not filing content. This is a reuse of the Kellanova DEFM14A; the captured text contained only corpus methodology notes."
SEC_B05E,news_interpretation,finance,"Reuters treats the same transaction as a story about family ownership, deep pockets, and strategic control. The article adds color around Mars’s private ownership structure and expected regulatory review. Compared with the proxy statement, it is more interpretive and narrative-driven.",editorial advocacy,1,3,2.24,clean,False,,Benchmark 5 editorial. Family-control narrative. Paired with SEC_B05.
SEC_B06,sec_filing,compliance,"The filing reports that Nasdaq granted Super Micro additional time, until February 25, 2025, to file delayed annual and quarterly reports while remaining listed. As an official disclosure, the filing is procedural and narrowly focused on listing compliance and deadlines.",corporate risk disclosure,3.5,-2,2.85,clean,True,bureaucratic_masking,Benchmark 6 technical. Nasdaq listing extension — compliance deadline disclosure.
SEC_B06E,news_interpretation,finance,"Reuters frames the extension as a listing-risk and investor-confidence story. The article notes after-hours share movement, the compliance plan, the prior filing delays, and the connection to questions about internal controls and accounting practices. It is less technical than the 8-K and more centered on consequences.",editorial advocacy,1,3,2.24,clean,False,,Benchmark 6 editorial. Listing-risk consequences narrative. Paired with SEC_B06.
SEC_B07,sec_filing,compliance,"The 10-K serves as the formal annual disclosure context for Super Micro after the period of delayed reporting. In the larger narrative around the company, this filing is the authoritative record for the firm’s annual disclosures, controls, and governance statements once the backlog of reporting was addressed.",corporate risk disclosure,3,-1.5,2.37,clean,True,bureaucratic_masking,Benchmark 7 technical. Remediation-context annual filing.
SEC_B07E,news_interpretation,finance,"Reuters explains the reporting problems through governance repair. The article highlights the naming of BDO as auditor, the compliance plan submitted to Nasdaq, and the company’s effort to stabilize its reporting and listing position. It functions as an outsider’s reading of remediation rather than a filing itself.",editorial advocacy,1,2.5,1.9,clean,False,,Benchmark 7 editorial. Governance-repair narrative. Paired with SEC_B07.
SEC_B08,sec_filing,legal,Search-accessible SEC text for the filing describes Tesla’s 2025 CEO Performance Award as a restricted-stock structure tied to extraordinary market-capitalization and operational milestones. The filing says the board and special committee evaluated alternatives over several months and approved submitting the award for shareholder consideration. The proxy is the formal governance document for the proposed compensation structure.,corporate risk disclosure,3.5,-2,2.85,clean,True,bureaucratic_masking,Benchmark 8 technical. Tesla CEO compensation proxy — governance mechanics.
SEC_B08E,news_interpretation,finance,"Reuters interprets the filing as an unprecedented compensation story centered on Musk’s influence, Tesla’s AI and robotics ambitions, and the scale of the proposed award. The article turns board-process language into a governance and power narrative that is easy for general readers to follow.",editorial advocacy,1,3,2.24,clean,False,,Benchmark 8 editorial. Power-and-scale narrative. Paired with SEC_B08.
SEC_B09,sec_filing,legal,"Search-accessible SEC text indicates that the package is divided into multiple tranches tied to escalating valuation and operating milestones, with service and vesting conditions that determine whether shares are earned or forfeited.",corporate risk disclosure,3.5,-2,2.85,clean,True,bureaucratic_masking,Benchmark 9 technical. Tesla compensation mechanics — tranches and milestones.
SEC_B09E,news_interpretation,finance,"Reuters focuses on the internal mechanics of the proposal. Its summary emphasizes the number of tranches, the link between valuation milestones and operational goals, and the conditions under which shares vest over time. The outside piece translates proxy mechanics into a readable explanation of how the pay plan works.",editorial advocacy,1,2.5,1.9,clean,False,,Benchmark 9 editorial. Pay-mechanics translation narrative. Paired with SEC_B09.
