text_id,ratio_density,lexical_density,ethos_density,pathos_density,logos_density,bureaucratic_masking_score,scientism_score,identity_laundering_score,head_coordinate (-10..+10),heart_coordinate (-10..+10),disruption_coordinate (-10..+10),stability_coordinate (-10..+10),amplitude_intensity (0..10),engine_classification
EE_0001,0.12,0.41,0.18,0.52,0.22,0.05,0.02,0.61,3,7.5,6,2,3.76,mixed
EE_0002,0.08,0.38,0.44,0.1,0.35,0.63,0.05,0.08,6.5,2,-1.5,5.5,4.47,laundered
SEC_B01,0.08,0.35,0.01,0.02,0.04,0.15,0,0,3.5,0,0,2,2.85,clean
SEC_B01E,0.05,0.28,0.01,0.03,0.06,0,0,0,1,0,3,0,2.24,clean
SEC_B02,0.04,0.42,0.02,0.01,0.03,0.25,0,0,3.5,0,0,6,4.91,clean
SEC_B02E,0.06,0.3,0.02,0.04,0.05,0,0,0,1.5,0,3.5,0,2.69,clean
SEC_B03,0.05,0.4,0.02,0.02,0.04,0.22,0,0,4,0,0,1.5,3.02,clean
SEC_B03E,0.04,0.26,0.01,0.05,0.04,0,0,0,0.5,0,4,0,2.85,clean
SEC_B04,0.06,0.44,0.02,0.01,0.05,0.2,0,0,3.5,0,0,2,2.85,clean
SEC_B04E,0.04,0.28,0.01,0.02,0.06,0,0,0,1,0,3,0,2.24,clean
SEC_B05,0.02,0.32,0.01,0,0.03,0,0,0,1,0,0,1.5,1.27,clean
SEC_B05E,0.03,0.27,0.01,0.02,0.05,0,0,0,1,0,3,0,2.24,clean
SEC_B06,0.05,0.4,0.02,0.01,0.04,0.2,0,0,3.5,0,0,2,2.85,clean
SEC_B06E,0.04,0.28,0.02,0.03,0.05,0,0,0,1,0,3,0,2.24,clean
SEC_B07,0.04,0.38,0.02,0.01,0.04,0.18,0,0,3,0,0,1.5,2.37,clean
SEC_B07E,0.03,0.3,0.01,0.02,0.05,0,0,0,1,0,2.5,0,1.9,clean
SEC_B08,0.06,0.42,0.02,0.01,0.04,0.22,0,0,3.5,0,0,2,2.85,clean
SEC_B08E,0.04,0.26,0.01,0.03,0.05,0,0,0,1,0,3,0,2.24,clean
SEC_B09,0.07,0.43,0.02,0.01,0.05,0.22,0,0,3.5,0,0,2,2.85,clean
SEC_B09E,0.05,0.3,0.01,0.02,0.06,0,0,0,1,0,2.5,0,1.9,clean
SEC_B10,0.06,0.45,0.02,0.01,0.04,0.28,0,0,3.5,0,0,2.5,3.04,clean
SEC_B10E,0.04,0.32,0.02,0.02,0.06,0,0,0,2,0,2.5,0,2.26,clean
SYN_01,0,0.15,0.03,0,0,0,0,0,2,0,0,3,2.55,evasion
SYN_02,0,0.3,0,0,0,0.12,0,0,3,0,0,4,3.54,ideological
SYN_03,0,0.2,0,0.15,0,0,0,0,0,5,4,0,4.53,moral_framing
SYN_04,0.08,0.45,0.01,0,0.02,0.22,0,0,4,0,0,3.5,3.76,clean
SYN_05,0.02,0.22,0,0,0.03,0,0,0,2,0,1.5,0,1.77,clean
SYN_06,0.1,0.35,0.12,0.04,0.03,0.18,0.08,0.05,3.5,0,0,3.5,3.5,clean
BLS_B01,0.06,0.28,0.01,0,0.04,0,0,0,2.5,0,0,0,1.8,clean
BLS_B01E,0.06,0.28,0.01,0.17,0.04,0,0,0,0,3.5,3,0,4.6,clean
BLS_B02,0.06,0.28,0.01,0,0.04,0,0,0,2.5,0,0,0,1.8,clean
BLS_B02E,0.06,0.28,0.01,0,0.04,0,0,0,1,0,1,0,1,clean
BLS_B03,0.06,0.28,0.01,0,0.04,0,0,0,2.5,0,0,0,1.8,clean
BLS_B03E,0.06,0.28,0.01,0.2,0.04,0,0,0,0,4,3.5,0,5.3,moral_framing
BLS_B04,0.06,0.28,0.01,0,0.04,0,0,0,2.5,0,0,0,1.8,clean
BLS_B04E,0.06,0.28,0.01,0,0.04,0,0,0,1.5,0,1,0,1.3,clean
BLS_B05,0.06,0.28,0.01,0,0.04,0,0,0,2.5,0,0,0,1.8,clean
BLS_B05E,0.06,0.28,0.01,0,0.04,0,0,0,1,0,1.5,0,1.3,clean
