CROSS-LEXICON OVERLAPS — Terms appearing in multiple signal lexicons,,,
Overlaps are INTENTIONAL: a word that performs two rhetorical functions simultaneously scores in both lexicons. This is not an error — it is signal richness. Source: EE_Comprehensive_Lexicon_Rebuild_v1.xlsx → Overlaps sheet.,,,
Term,Appears In,Rhetorical Justification,Scoring Implication
according to,ETHOS + LOGOS,Performs multiple rhetorical functions — invoking a source (ETHOS) while also serving as a reasoning connector (LOGOS),Increments both ethos_density and logos density
alarmed,HEART + PATHOS,Anxiety (HEART) AND emotional loading (PATHOS — original via alarm/alarmed),Increments both heart_coordinate (neg Y) and pathos_density
assessed,HEAD + LEX,Bureaucratic process (LEX) AND cognitive operation (HEAD),Increments both head_coordinate (pos Y) and lexical_density
assessment,HEAD + LEX,Bureaucratic process (LEX) AND cognitive operation (HEAD),Increments both head_coordinate (pos Y) and lexical_density
catastrophic,DISRUPTION + PATHOS,Rupture cue (DISRUPTION) AND narrative amplifier (PATHOS),Increments both disruption_coordinate (pos X) and pathos_density
compliance,ETHOS + LEX,Regulatory authority (ETHOS) AND bureaucratic register (LEX),Increments both ethos_density and lexical_density
cooperated,LEX + STABILITY,Procedural action (LEX) AND assurance/continuity (STABILITY),Increments both lexical_density and stability_coordinate (neg X)
cooperating,LEX + STABILITY,Performs multiple rhetorical functions — procedural (LEX) and continuity (STABILITY),Increments both lexical_density and stability_coordinate (neg X)
cooperation,LEX + STABILITY,Procedural action (LEX) AND assurance/continuity (STABILITY),Increments both lexical_density and stability_coordinate (neg X)
data,HEAD + RATIO,Performs multiple rhetorical functions — analytic (HEAD) and quantitative (RATIO),Increments both head_coordinate (pos Y) and ratio_density
demand,HEART + NORMATIVE,Prescriptive (NORMATIVE — original) AND threat/coercion (HEART),Increments both normative_density (Gate 2) and heart_coordinate (neg Y)
devastating,HEART + PATHOS,Emotive (HEART — original) AND narrative amplifier (PATHOS — original),Increments both heart_coordinate (neg Y) and pathos_density
disgust,HEART + PATHOS,Performs multiple rhetorical functions — core emotive,Increments both heart_coordinate (neg Y) and pathos_density
disgusting,HEART + PATHOS,Performs multiple rhetorical functions — core emotive,Increments both heart_coordinate (neg Y) and pathos_density
documented,HEAD + LEX,Bureaucratic process (LEX) AND analytic recording (HEAD),Increments both head_coordinate (pos Y) and lexical_density
estimated,HEAD + RATIO,Quantifies (RATIO) AND performs cognitive analysis (HEAD),Increments both head_coordinate (pos Y) and ratio_density
estimates,HEAD + RATIO,Quantifies (RATIO) AND performs cognitive analysis (HEAD),Increments both head_coordinate (pos Y) and ratio_density
estimation,HEAD + RATIO,Quantifies (RATIO) AND performs cognitive analysis (HEAD),Increments both head_coordinate (pos Y) and ratio_density
evaluated,HEAD + LEX,Bureaucratic process (LEX) AND cognitive operation (HEAD),Increments both head_coordinate (pos Y) and lexical_density
evaluation,HEAD + LEX,Bureaucratic process (LEX) AND cognitive operation (HEAD),Increments both head_coordinate (pos Y) and lexical_density
framework,HEAD + LEX,Performs multiple rhetorical functions — structural (LEX) and analytic (HEAD),Increments both head_coordinate (pos Y) and lexical_density
horrifying,HEART + PATHOS,Performs multiple rhetorical functions — core emotive,Increments both heart_coordinate (neg Y) and pathos_density
impact,DISRUPTION + LEX,Performs multiple rhetorical functions — rupture (DISRUPTION) and operational register (LEX),Increments both disruption_coordinate (pos X) and lexical_density
institution,ETHOS + STABILITY,Authority marker (ETHOS — original) AND preservation cue (STABILITY — original),Increments both ethos_density and stability_coordinate (neg X)
