annotation_id,text_id,span_start_char,span_end_char,span_text,is_fallacious (TRUE/FALSE),fallacy_level1,fallacy_level2,fallacy_level3,disjunctive_set_id,annotator_id,annotator_role,confidence_score (0..1),explanation_rationale,popper_falsifiability_flag,argyris_learning_mode,wittgenstein_language_game,authority_laundering_flag (TRUE/FALSE),authority_laundering_type,annotation_timestamp,quality_control_status
AN_0001,EE_0001,0,63,"If you oppose this bill, you clearly don't care about children.",True,Pathos,Appeal to Emotion,Moral Blackmail,DS_0001,R1,rhetorician,0.72,Frames dissent as moral failure to coerce assent.,non-empirical (normative pressure),defensive-routine,campaign / legislative persuasion,True,identity_laundering,2026-03-02T19:42:52Z,raw
AN_0002,EE_0001,0,63,"If you oppose this bill, you clearly don't care about children.",True,Ethos,Ad Hominem,Motive Attack,DS_0001,P2,philosopher,0.64,Attacks opponent's character/motive rather than the claim.,falsifiable (if construed as empirical about motives),single-loop,public moral signaling,False,,2026-03-02T19:42:52Z,raw
AN_0003,EE_0002,0,71,"According to the Committee's framework, our process is inherently fair;",True,Ethos,Appeal to Authority,Institutional Shielding,DS_0002,D7,domain expert,0.81,Invokes committee framework to pre-empt scrutiny.,immunizing_stratagem,defensive-routine,policy justification,True,bureaucratic_masking,2026-03-02T19:42:52Z,reviewed
AN_0004,SEC_B01,0,0,Full text,False,,,,,EE_AUTO,engine,0.9,No fallacious span. Clean claim structure with procedural compliance register. CALIBRATION: GPT X=-0.2/Y=+0.5/I=0.38 vs Gold Standard/Gemini X=-2.0/Y=+3.5/I=2.85 (~7x compression).,falsifiable,open-loop,corporate risk disclosure,False,,2026-03-17T14:00:00Z,reviewed
AN_0005,SEC_B01E,0,0,Full text,False,,,,,EE_AUTO,engine,0.85,No fallacious span (Gold Standard = Gemini classification). DIVERGENCE: GPT fired moral_framing (framing_density threshold met; X=+0.3/Y=+0.7/I=0.54); Gemini=CLEAN X=+3.0/Y=+1.0/I=2.23. Gold Standard adopts Gemini no-gate result.,falsifiable,open-loop,editorial advocacy,False,,2026-03-17T14:00:00Z,reviewed
AN_0006,SEC_B02,0,0,Full text,False,,,,,EE_AUTO,engine,0.88,No fallacious span. Bureaucratic masking detected: compliance vocabulary shields the severity of control failures.,falsifiable,defensive-routine,corporate risk disclosure,True,bureaucratic_masking,2026-03-17T14:00:00Z,reviewed
AN_0007,SEC_B02E,0,0,Full text,False,,,,,EE_AUTO,engine,0.82,No fallacious span. Disruption-leaning editorial frames delay as governance crisis.,falsifiable,open-loop,editorial advocacy,False,,2026-03-17T14:00:00Z,reviewed
AN_0008,SEC_B03,0,0,Full text,True,Ethos,Appeal to Authority,Institutional Shielding,DS_0003,EE_AUTO,engine,0.75,Bureaucratic masking: material weakness language is wrapped in compliance/remediation framing that softens impact. Institutional shield via procedural vocabulary.,immunizing_stratagem,defensive-routine,corporate risk disclosure,True,bureaucratic_masking,2026-03-17T14:00:00Z,reviewed
AN_0009,SEC_B03E,0,0,Full text,False,,,,,EE_AUTO,engine,0.8,No fallacious span. High-disruption editorial framing — survival/failure narrative — but claims are grounded in observable disclosures.,falsifiable,open-loop,editorial advocacy,False,,2026-03-17T14:00:00Z,reviewed
AN_0010,SEC_B04,0,0,Full text,False,,,,,EE_AUTO,engine,0.88,No fallacious span. Standard governance disclosure. Bureaucratic masking typical of proxy statements.,falsifiable,defensive-routine,corporate risk disclosure,True,bureaucratic_masking,2026-03-17T14:00:00Z,reviewed
