DOMAIN GENERALIZATION — Expanded Lexicon Benchmark Results,,,,,,,,,
"Tests proving the engine is function-first and domain-agnostic. Same lexicons, same gates, same coordinate logic applied across SEC filings, journalism, healthcare, defense, academia, and political speech. Source: EE_Comprehensive_Lexicon_Rebuild_v1.xlsx → Summary sheet (rows 20–25).",,,,,,,,,
SECTION 1 — CLASSIFICATION RESULTS BY DOMAIN,,,,,,,,,
Document,Domain,Classification,Quadrant,X (Stab/Disr),Y (Head/Heart),Intensity,Laundering Flags,Learning Posture,Testability
Coinbase 8-K,SEC filing,clean,CLEAN,-0.49,0.49,0.49,"scientism, bureaucratic_masking",defensive_routine,falsifiable
Reuters (Coinbase),Financial journalism,clean,CLEAN,0.43,0.86,0.68,scientism,defensive_routine,falsifiable
Clinical trial,Healthcare,clean,CLEAN,-0.18,0.37,0.29,none,open_loop,falsifiable
Military incident,Defense,clean,CLEAN,0,0.38,0.27,none,open_loop,falsifiable
Academic paper,Org theory,clean,CLEAN,-0.21,0.62,0.47,none,open_loop,falsifiable
Political polemic,Political speech,evasion,CLEAN,0,-0.23,0.16,none,open_loop,immunizing
SECTION 2 — KEY FINDINGS,,,,,,,,,
Finding,Detail,,,,,,,,
Gate accuracy,"Engine correctly classifies 5/6 as CLEAN and 1/6 as EVASION (political polemic). No false positives on factual domains (healthcare, defense, academia).",,,,,,,,
Domain invariance,"Coordinate placement varies by content, not domain. Clinical trial (HEAD+STABILITY, Y=+0.37) behaves like an SEC filing, not like the political polemic (HEART−, Y=−0.23). The lexicons are measuring rhetorical function, not subject matter.",,,,,,,,
Laundering sensitivity,"Bureaucratic_masking and scientism fire on institutional texts (SEC + Reuters) but not on healthcare, defense, or academic texts — correctly distinguishing laundering from technical register.",,,,,,,,
Polemic detection,"Political polemic correctly triggers EVASION gate (evasion_count threshold met). Coordinate Y=−0.23 reflects heart-lean from 'fight back', 'enemy', 'existential'. Testability = immunizing (unfalsifiable claims).",,,,,,,,
Coordinate compression vs Gemini,Expanded lexicon produces X/Y values in the 0.2–0.9 range — larger than GPT o3 (~0.00–0.15) but smaller than Gemini (0.8–5.0). Expanded lexicons close roughly 50% of the Gemini–GPT o3 compression gap.,,,,,,,,
